#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
76716,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Função spfscg_hist_orgao - ORGA_NOME - ORGA_NOME_REDUZIDO - ORGA_SIGL,Darckles Pereira de Almeida,,,,2023-03-07,58361,1
76636,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Implementação,Fechada,Implementar o projeto de serviços do sistema SPC,Darckles Pereira de Almeida,,,,2023-03-06,73566,0
76621,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Ajustes no site SCGI,Darckles Pereira de Almeida,,,,2023-03-06,58361,5
76602,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - ArquivoLoteSituacaoRepository - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-06,58361,0
76601,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - SaldoPlanoContaOnLineDAOJpa - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-06,58361,0
76600,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - ConciliacaoContasContabeisArrecadacaoRepository - criarSqlConsultaConciliacao - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-06,58361,0
76591,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração SQL - InventarioAlmoxarifadoRepository.java,Carlos Augusto Costa Bastos,,,,2023-03-03,58361,15
76587,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - InventarioMovelImovelRepository - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,0
76581,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração SQL - SaldoPlanoContaDAOJpa.java,Carlos Augusto Costa Bastos,,,,2023-03-03,58361,2
76577,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - RelOrgaoNaturezaFonteRepository - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,2
76571,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração SQL - RelatorioSCGDAOImpl.java,Carlos Augusto Costa Bastos,,,,2023-03-03,58361,9
76565,SCG - Sistema de Contabilidade Geral (Serviços),*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - DemonstrativoRestoApagarUnidadeRepository2022 - dadosRelatorioRestoPagarUnidade - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,1
76564,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Tela Manter Conta Corrente - Seleção de Fonte e CO [front-end/alteração],Marco Antonio Silva Pegado,,,,2023-03-03,58361,4
76557,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Mensagem Pop-up - Tela Manter DDR,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,1
76555,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - DemonstrativoDespesasIBRepository -pesquisarDemonstrativoDespesasIB_2016 - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,1
76547,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - DemonstrativoDespesaPessoalRepository - pesquisarDemonstrativoDespesaPessoal_2016 - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,0
76541,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Atividade,Fechada,Acompanhamento de implantação em produção,Junior Batista Menezes,32-OperaçãoAssistidadeApoio,,,2023-03-27,70884,6
76537,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - ContasNaoVinculadasSaldoAberturaRepository - ContasNaoVinculadasSaldoAbertura - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,0
76529,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - RolOrdenadoresDespesaRepository - listaRolOrdenadoresDespesa - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,0
76528,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração SQL - PrestacaoContaDAOJpa.java,Carlos Augusto Costa Bastos,,,,2023-03-03,58361,12
76526,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,SQL - SaldoPlanoContaRepository - listarSaldosContas - ORGA_NOME_REDUZIDO,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-03,58361,1
