#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
83368,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Ajuste -  Comprovante Prestação Complementar [frontend],Geison Leal Feitosa,,,,2023-06-12,73566,5
83360,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Ajustes no site SCGI - Órgãos que não existiam sendo exibidos,Darckles Pereira de Almeida,,,,2023-06-12,58361,1
83193,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Tela - Criar relatório denominado DEMONSTRATIVO DOS SALDOS DOS AGENTES ARRECADADORES,Carlos Augusto Costa Bastos,,,,2023-06-07,58361,1
83192,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Front-End - Criar relatório denominado DEMONSTRATIVO DOS SALDOS DOS AGENTES ARRECADADORES,Carlos Augusto Costa Bastos,,,,2023-06-07,58361,1
83191,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Relatório - Criar relatório denominado DEMONSTRATIVO DOS SALDOS DOS AGENTES ARRECADADORES,Carlos Augusto Costa Bastos,,,,2023-06-07,58361,4
83185,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Criar relatório denominado DEMONSTRATIVO DOS SALDOS DOS AGENTES ARRECADADORES,Carlos Augusto Costa Bastos,,,,2023-06-07,58361,3
83179,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Atividade,Fechada,Análise complementar {Estudo do Sistema SPC},Renato Da Silva Cavalcanti,21-Manutenções-AnáliseExploratóriadeProblemas,,,2023-05-25,70884,4
83164,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Cancelada,Correções na lista de inscrições complementares ,,,,1,2023-06-07,70884,1
83036,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Alteração Relatório DEMONSTRATIVO DAS DISPONIBILIDADES CLASSE 1 X CLASSE 8 - SISTEMÁTICA CUTE,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,2,2023-06-06,58361,4
83029,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Tela de cadastro dos relatórios a serem retidos mensalmente - 2023 | Correções,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,2,2023-06-06,58361,5
83025,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Atividade complementar {Ajustes nos formulários de inscrição},Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,3,2023-06-06,70884,0
83022,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alterar rodapé dos relatórios em homologação,Darckles Pereira de Almeida,,,,2023-06-06,58361,2
83013,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Inclusão de finalidades no SCG,Darckles Pereira de Almeida,,,,2023-06-06,58361,0
82965,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração de regra relatório - DEMONSTRATIVO SINTÉTICO DA MOVIMENTAÇÃO DO ATIVO IMOBILIZADO E INTANGÍVEL Ano 2023,Marco Antonio Silva Pegado,,,,2023-06-05,58361,1
82941,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Anexo 10 - 2023 |  Valores diferentes comparado com a Consulta de Saldos Contábeis,Darckles Pereira de Almeida,,,0,2023-06-05,58361,10
82933,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66265,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Funcionalidade,Fechada,Implementar - Contabilização de várias Obrigações - [tela],Geison Leal Feitosa,,,,2023-06-05,66266,0
82927,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Anexo 10A - 2023 | Valores diferentes comparado com a Consulta de Saldos Contábeis,Darckles Pereira de Almeida,,,,2023-06-05,58361,6
82842,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Ajuste - Gerar novo exercício ,Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,2,2023-06-02,70884,2
82802,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66265,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Funcionalidade,Fechada,Implementar - Contabilização de várias Obrigações - [Backend],Geison Leal Feitosa,,,,2023-06-01,66266,0
82788,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração regra do Relatório - DEMONSTRATIVO DAS DISPONIBILIDADES CLASSE 1 X CLASSE 8 – CUTE (DEMAIS CONTAS),Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-06-01,58361,3
82768,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Aguardando,Inserir consulta o SCG para acessar os dados do SFC,Darckles Pereira de Almeida,,,,2023-06-01,58361,1
82763,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Anexo 10 - 2023 | Correções,Marco Antonio Silva Pegado,,,,2023-06-01,58361,6
82717,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66265,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Funcionalidade,Fechada,Implementar - Contabilização de várias Obrigações - [Frontend],Geison Leal Feitosa,,,,2023-05-31,66266,2
82701,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Análise,Validação,Analise exploratória de erros - SPC,Junior Batista Menezes,10-Estudo/AnálisedeSistemaLegado,,1,2023-06-12,70884,28
82700,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Correção,Fechada,Demonstrativos de Restos a Pagar / Unidade | Sucessão de Órgãos,Jose Humberto Froes Junior,21-Manutenções-AnáliseExploratóriadeProblemas,,,2023-05-31,,9
82669,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,"Relatório | Comparativo Diário DARE X CRA – VISÃO SINTÉTICA,",Jose Humberto Froes Junior,14-NovaFuncionalidade-Relatório(até10atrib),,1,2023-05-31,58361,5
82645,SCG - Sistema de Contabilidade Geral (Serviços),SCG-Integrações,65235,SCG-Integrações,Atividade,Fechada,Suporte a equipe Precatórios,Junior Batista Menezes,32-OperaçãoAssistidadeApoio,,,2023-05-30,79162,1
82643,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração da tela Fechamento Contábil Mensal,Marco Antonio Silva Pegado,,,,2023-05-30,58361,3
82581,SCG - Sistema de Contabilidade Geral (Serviços),SCG-Integrações,65235,SCG-Integrações,Implementação,Fechada,Alterar documento modelo de Anulação de inscrição - nº 8091 (SCG-RS),Carlos Augusto Costa Bastos,,,,2023-05-29,68245,0
82580,SCG - Sistema de Contabilidade Geral (Serviços),SCG-Integrações,65235,SCG-Integrações,Implementação,Fechada,Alterar documento modelo de inscrição - nº 8090 (SCG-RS),Carlos Augusto Costa Bastos,,,,2023-05-29,68245,1
82578,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Erro na tela Manter Fechamento Contábil Mensal,Marco Antonio Silva Pegado,,,,2023-05-29,58361,2
82550,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Alteração de relatório - DEMONSTRATIVO SINTÉTICO DA MOVIMENTAÇÃO DO ATIVO IMOBILIZADO E INTANGÍVEL  Ano 2023,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,4,2023-05-29,58361,6
82524,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Implementação,Fechada,[Front-end] Demonstrativos Fiscais | Tela de Cadastro de Nome de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,86107,5
82522,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Implementação,Fechada,[Front-end] Demonstrativos Fiscais | Tela de Cadastro de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,86107,3
82520,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,[Front-end] Demonstrativos Fiscais | Tela de Visualização de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,58361,1
82492,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Implementação,Fechada,[Back-end] Demonstrativos Fiscais | Tela de Visualização de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,86107,4
82491,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,[Back-End] Demonstrativos Fiscais | Tela de Cadastro de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,58361,7
82490,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,[Back-end] Demonstrativos Fiscais | Tela de Cadastro de Nome de Relatórios Fiscais,Darckles Pereira de Almeida,,,,2023-05-29,58361,8
82489,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Alterar Relatório - DEMONSTRATIVO DAS DISPONIBILIDADES CLASSE 1 X CLASSE 8 – CUTE (DEMAIS CONTAS) para o ano de 2023,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,5,2023-05-26,58361,7
82457,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,[Back-End Alteração] Anexo 10 - 2023 | Alteração nos ordenamentos,Marco Antonio Silva Pegado,,,,2023-05-26,58361,0
82430,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Alterações SPC - Restrição de natureza despesa,Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,3,2023-05-25,70884,2
82429,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Implementação,Fechada,Alterações SPC - Inscrições,Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,3,2023-05-25,70884,2
82403,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Anexo 10 - 2023 | Alteração nos ordenamentos,Marco Antonio Silva Pegado,,,,2023-05-25,58361,13
82402,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Anexo 10A - 2023 | Alteração nos ordenamentos,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,5,2023-05-25,58361,18
82377,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Erro de Tela Verde - Relatórios | Exercício anterior a 2022,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-05-25,58361,1
82376,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Cancelada,Relatórios | Exercício anterior a 2022,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-05-25,58361,1
82356,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Atividade,Fechada,Verificação do Erro Codigo 076 em produção.,Darckles Pereira de Almeida,,,,2023-05-25,,3
82322,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Relatório - Correção - relatório CHECKLIST AUTOMATIZADO - ÓRGÃO,Carlos Augusto Costa Bastos,,,,2023-05-23,58361,1
82298,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Correção - Anexo 11 ano 2023,Darckles Pereira de Almeida,,,,2023-05-23,58361,2
82267,SPC - Sistema de Prestação de Contas,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Reunião,Fechada,Reuniões Diárias Ciclo 10/05/2023 a 09/06/2023 [Daily - Maio 2023],Junior Batista Menezes,36-ParticipaçãoemReuniões,,,2023-05-22,,3
82266,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Reunião,Fechada,Reuniões Diárias Ciclo 10/05/2023 a 09/06/2023 [Daily - Maio 2023],Jose Humberto Froes Junior,36-ParticipaçãoemReuniões,,,2023-05-22,,8
82265,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Reunião,Fechada,Reuniões Diárias Ciclo 10/05/2023 a 09/06/2023 [Daily - Maio 2023],Daniel Ricardo Dos Santos Pelusci,36-ParticipaçãoemReuniões,,,2023-05-22,,7
82241,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Atividade,Fechada,Suporte ao usuário SPC,Junior Batista Menezes,36-ParticipaçãoemReuniões,,,2023-05-17,70884,4
82190,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Demonstrativos de Restos a Pagar / Unidade | Correção Órgão Antecessor <= 2018,Jose Humberto Froes Junior,21-Manutenções-AnáliseExploratóriadeProblemas,,,2023-05-22,58361,9
82182,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alterar método Descontabilizar/Excluir lote,Darckles Pereira de Almeida,,,,2023-05-22,58361,1
82174,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alterar o formato da data do Dashboard,Darckles Pereira de Almeida,,,,2023-05-19,58361,1
82171,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Implementação,Fechada,Montagem de ambiente SPC [configuração],Renato Da Silva Cavalcanti,26-Configuração/PreparaçãoAplicação,,2,2023-05-19,70884,2
82162,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Correção - relatório CHECKLIST AUTOMATIZADO - ÓRGÃO,Carlos Augusto Costa Bastos,,,,2023-05-19,58361,10
82086,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Correções | Demonstrativos de Restos a Pagar / Unidade,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,5,2023-05-18,58361,15
82060,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,"ANEXO 14, QD PRINCIPAL, ANUAL – ANO 2023 | Linhas B.1",Carlos Augusto Costa Bastos,,,,2023-05-18,58361,6
82037,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,"ANEXO 14, QD PRINCIPAL, PARCIAL – ANO 2023 | Linhas B.1",Carlos Augusto Costa Bastos,,,,2023-05-18,58361,7
81994,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Consulta Lançamento de Documentos | ,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,4,2023-05-18,58361,6
81983,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Consultar e/ou Validar Fonte V3,Darckles Pereira de Almeida,,,,2023-05-18,58361,0
81961,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Relatório  - Corrigir o relatório COMPARATIVO ENTRE O AF E A DISPONIBILIDADE 82111 – ANO 2023,Marco Antonio Silva Pegado,,,,2023-05-18,58361,0
81946,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Alteração de elemento visual comprovante de inscrição SPC,Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-05-18,70884,1
81917,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Correção,Fechada,Alteração no comprovante de Obrigações,Renato Da Silva Cavalcanti,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-05-18,70884,1
81895,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Atividade,Fechada,Configuração de Ambiente ,Daniel Ricardo Dos Santos Pelusci,26-Configuração/PreparaçãoAplicação,,,2023-05-18,,6
81830,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração da Função 9500 fonte original,Darckles Pereira de Almeida,,,,2023-05-17,58361,1
81823,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Front-End - Corrigir o relatório COMPARATIVO ENTRE O AF E A DISPONIBILIDADE 82111 – ANO 2023,Marco Antonio Silva Pegado,,,,2023-05-17,58361,2
81769,SDP - Sistema da Dívida Pública,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),68007,*SDP - Sistema da Dívida Pública (Manutenções Corretivas),Correção,Fechada,Correção no template/relatório  da Divida consolidada,Alessandro Jorge Rodrigues da Silva,,,,2023-05-16,68007,5
81748,SPC - Sistema de Prestação de Contas,SCG-Integrações,65233,SCG-Integrações,Correção,Fechada,Correção na funcionalidade de consulta de Saldo SPC,Darckles Pereira de Almeida,,,,2023-05-16,75440,2
81732,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Corrigir o relatório COMPARATIVO ENTRE O PF E A DISPONIBILIDADE COMPROMETIDA – ANO 2023,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,7,2023-05-16,58361,12
81731,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Corrigir o relatório COMPARATIVO ENTRE O AF E A DISPONIBILIDADE 82111 – ANO 2023,Marco Antonio Silva Pegado,,,,2023-05-16,58361,2
81718,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Atividade,Fechada,"Contabilização Scg, verificar a ordem dos Eventos, ao contabilizar .",Darckles Pereira de Almeida,,,,2023-05-16,,0
81715,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Atividade,Fechada,Frontend - Novo atributo Órdem ( Manter Conjunto Lançamento Padronizado ) .,Darckles Pereira de Almeida,,,,2023-05-16,,0
81714,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Atividade,Fechada,Backend - Novo atributo Órdem ( Manter Conjunto Lançamento Padronizado ) .,Darckles Pereira de Almeida,,,,2023-05-16,,1
81702,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Tipo de parâmetro 2017 RDO/RRT,Jose Humberto Froes Junior,21-Manutenções-AnáliseExploratóriadeProblemas,,1,2023-05-16,58361,3
81688,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,ANEXO – 11 | Correção do layout,Marco Antonio Silva Pegado,,,,2023-05-15,58361,2
81674,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Corrigir versão em Excel do Demonstrativo Intangível e Diferido – ANO 2023,Carlos Augusto Costa Bastos,,,,2023-05-15,58361,4
81671,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Corrigir versão em Excel do Demonstrativo Investimentos – ANO 2023,Carlos Augusto Costa Bastos,,,,2023-05-15,58361,3
81668,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Corrigir Consulta Movimento Contábil Órgão - Ano 2023,Carlos Augusto Costa Bastos,,,,2023-05-15,58361,2
81631,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Correções | Demonstrativos de Restos a Pagar / Unidade,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,7,2023-05-12,58361,21
81629,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,ANEXO 01 - REGISTRO DE SALDO BANCÁRIO | Versão 2023,Marco Antonio Silva Pegado,,,,2023-05-12,58361,1
